EC_protein,EC_accession,SE_protein,SE_accession
sulfur carrier protein ThiS adenylyltransferase,b3992,molybdopterin/thiamine biosynthesis adenylyltransferase,STM4162
sulfur transfer protein TusA,b3470,sulfurtransferase,STM3451
sulfur transfer protein TusE,b0969,sulfurtransferase,STM3451
sulfurtransferase complex subunit TusB,b3343,sulfurtransferase,STM3451
sulfurtransferase complex subunit TusC,b3344,sulfurtransferase,STM3451
sulfurtransferase complex subunit TusD,b3345,sulfurtransferase,STM3451
sulfurtransferase for molybdenum cofactor sulfuration,b3895,sulfurtransferase,STM3451
superoxide dismutase (Cu-Zn),b1646,,
superoxide dismutase (Fe),b1656,superoxide dismutase,STM4055
superoxide dismutase (Mn),b3908,superoxide dismutase,STM4055
superoxide oxidase,b1418,cytochrome B,STM1639
surface composition regulator,b3049,glycogen synthase,STM3197
surface-exposed outer membrane lipoprotein,b0378,putative outer membrane lipoprotein,STM4223
T2SSE family protein,b0107,type II secretion system protein,STM0143
"tagatose-1,6-bisphosphate aldolase 2",b2096,"D-tagatose-1,6-bisphosphate aldolase subunit",STM3257
tail-anchored inner membrane protein ElaB,b2266,putative inner membrane protein,STM1849
tail-specific protease,b1830,C-terminal processing peptidase,STM1845
tartronate semialdehyde reductase,b3125,2-hydroxy-3-oxopropionate reductase,STM3248
tartronate semialdehyde reductase 2,b0509,2-hydroxy-3-oxopropionate reductase,STM3248
TDP-<i>N</i>-acetylfucosamine:lipid II <i>N</i>-acetylfucosaminyltransferase,b4481,4-alpha-L-fucosyltransferase,STM3927
tellurite methyltransferase,b1430,tellurite resistance methyltransferase,STM1608
tellurite resistance protein,b1429,dicarboxylate transporter/tellurite-resistance protein,STM1609
TerC family inner membrane protein YoaE,b1816,putative inner membrane protein,STM1849
tetraacyldisaccharide 4'-kinase,b0915,tetraacyldisaccharide 4'-kinase,STM0985
tetrahydrodipicolinate succinylase,b0166,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",STM0213
thiamine ABC transporter ATP binding subunit,b0066,thiamine ABC transporter ATP-binding protein,STM0106
thiamine ABC transporter membrane subunit,b0067,thiamine/thiamine pyrophosphate ABC transporter permease,STM0107
thiamine ABC transporter periplasmic binding protein,b0068,thiamine ABC transporter substrate binding subunit,STM0108
thiamine kinase,b1106,thiamine kinase,STM1208
thiamine monophosphate kinase,b0417,DJ-1 family protein,STM1931
thiamine phosphate synthase,b3993,thiamine-phosphate diphosphorylase,STM4163
thiol peroxidase,b2480,thioredoxin-dependent thiol peroxidase,STM2491
thiol-disulfide exchange protein DsbD,b4136,protein-disulfide reductase,STM4323
thiol:disulfide oxidoreductase CcmG,b2195,,
thiol:disulfide oxidoreductase DsbA,b3860,thiol:disulfide oxidoreductase DsbA,
thioredoxin reductase,b0888,thioredoxin-disulfide reductase,STM0958
thioredoxin/glutathione peroxidase BtuE,b1710,glutathione peroxidase,STM1341
thiosulfate sulfurtransferase GlpE,b3425,thiosulfate sulfurtransferase,STM1686
thiosulfate sulfurtransferase PspE,b1308,thiosulfate sulfurtransferase,STM1686
thiosulfate sulfurtransferase YgaP,b2668,putative rhodanese-related sulfurtransferase,STM2798
thiosulfate/sulfate ABC transporter periplasmic binding protein CysP,b2425,,
threonine deaminase,b3772,PLP-dependent threonine dehydratase,STM3905
threonine dehydrogenase,b3616,L-threonine 3-dehydrogenase,STM3708
threonine synthase,b0004,threonine synthase,STM0004
threonine&mdash;tRNA ligase,b1719,threonine--tRNA ligase,STM1333
threonine/serine:H<sup>+</sup> symporter TdcC,b3116,threonine/serine transporter,STM3243
threonine/serine:H<sup>+</sup> symporter ThrP,b3795,amino acid permease,STM3930
thymidine phosphorylase,b4382,thymidine phosphorylase,STM4568
thymidine/deoxyuridine kinase,b1238,thymidine kinase,STM1750
thymidylate synthase,b2827,thymidylate synthase,STM3001
Tmk,b1098,dTMP kinase,STM1200
Tol-Pal system periplasmic protein TolB,b0740,,
Tol-Pal system protein TolA,b0739,cell envelope integrity protein,STM0747
Tol-Pal system protein TolQ,b0737,"tol protein, membrane-spanning inner membrane protein",STM0745
Tol-Pal system protein TolR,b0738,,
Ton complex subunit ExbB,b3006,tonB-system energizer,STM3159
Ton complex subunit ExbD,b3005,TonB system transporter,STM3158
Ton complex subunit TonB,b1252,transporter,STM1737
TPR repeat-containing putative chaperone YgeG,b2851,,
TraB family protein YbaP,b0482,polysaccharide biosynthesis protein,STM0496
transaldolase A,b2464,transaldolase,STM0007
transaldolase B,b0008,transaldolase,STM0007
transcription antitermination protein NusB,b0416,EscD/YscD/HrpQ family type III secretion system inner membrane ring protein,STM1395
transcription antiterminator and regulator of mRNA stability CspC,b1823,cold-shock protein,STM0629
transcription antiterminator and regulator of RNA stability CspE,b0623,cold-shock protein,STM0629
transcription antiterminator RfaH,b3842,transcriptional activator,STM3977
transcription elongation factor GreA,b3181,transcription elongation factor,STM3299
transcription elongation factor GreB,b3406,transcription elongation factor,STM3299
transcription termination factor Rho,b3783,16S rRNA (cytosine(967)-C(5))-methyltransferase,STM3408
transcription termination/antitermination factor NusG,b3982,transcription termination/antitermination protein,STM4148
transcription termination/antitermination protein NusA,b3169,transcription termination/antitermination protein,STM4148
transcription-repair coupling factor,b1114,transcription-repair coupling factor,STM1216
transcriptional coactivator for CRP,b0959,Crp/Fnr family transcriptional regulator,STM1072
transcriptional repressor MtlR,b3601,mannitol operon repressor,STM3687
transglutaminase-like/TPR repeat-containing protein,b1214,Protein SirB1,STM1773
transketolase 1,b2935,transketolase,STM2474
transketolase 2,b2465,transketolase,STM2474
translation elongation factor Tu 1,b3339,translation elongation factor Tu,STM4146
translation initiation factor IF-1,b0884,translation initiation factor IF-1,STM0953
translation initiation factor IF-2,b3168,translation initiation factor IF-2,STM3286
translation initiation factor IF-2&beta;,b3168,translation initiation factor IF-2,STM3286
translation initiation factor IF-2&beta;',b3168,translation initiation factor IF-2,STM3286
translation initiation factor IF-3,b1718,protein chain initiation factor IF-3,STM1334
translocation and assembly module subunit TamA,b4220,putative outer membrane protein,PSLT015
translocation and assembly module subunit TamB,b4221,translocation/assembly module,STM4410
transmembrane homeostasis protein A,b2899,hemolysin III family protein,STM3049
trehalose-6-phosphate hydrolase,b4239,trehalose- 6-P hydrolase,STM4453
trehalose-6-phosphate phosphatase,b1897,trehalose-phosphatase,STM1929
trehalose-6-phosphate synthase,b1896,"alpha,alpha-trehalose-phosphate synthase",STM1928
trigger factor,b0436,trigger factor,STM0447
trimethylamine <i>N</i>-oxide reductase 1,b0997,trimethylamine N-oxide reductase I catalytic subunit,STM3822
trimethylamine-N-oxide reductase-specific chaperone,b0998,molecular chaperone,STM0012
triose-phosphate isomerase,b3919,triose-phosphate isomerase,STM4081
triphosphoribosyl-dephospho-CoA synthase,b0613,triphosphoribosyl-dephospho-CoA synthase,STM0063
tRNA (cytidine/uridine-2'-<i>O</i>)-ribose methyltransferase,b3606,tRNA (uridine(34)/cytosine(34)/5- carboxymethylaminomethyluridine(34)-2'-O)- methyltransferase,STM3695
tRNA (Gm18) 2'-O-methyltransferase,b3651,tRNA (guanosine(18)-2'-O)-methyltransferase,STM3743
tRNA 2-selenouridine synthase,b0503,tRNA 2-selenouridine(34) synthase,STM0513
tRNA 3-amino-3-carboxypropyltransferase,b2583,DTW domain-containing protein,STM2650
tRNA <b>cmo</b><sup>5</sup>U34 methyltransferase,b0921,tRNA uridine 5-oxyacetic acid(34) methyltransferase,STM0991
tRNA adenosine<sup>34</sup> deaminase,b2559,tRNA adenosine(34) deaminase,STM2568
tRNA Cm32/Um32 methyltransferase,b2532,,
tRNA cytosine<sup>32</sup> 2-sulfurtransferase TtcA,b1344,tRNA 2-thiocytidine(32) synthetase,STM1654
tRNA dimethylallyltransferase,b4171,tRNA (adenosine(37)-N6)-dimethylallyltransferase,STM4360
tRNA m<sup>1</sup>G37 methyltransferase,b2607,tRNA (guanosine(37)-N1)-methyltransferase,STM2674
tRNA m<sup>5</sup>U54 methyltransferase,b3965,tRNA (uridine(54)-C5)-methyltransferase,STM4129
tRNA m<sup>6</sup>A37 methyltransferase,b2575,tRNA (adenosine(37)-N6)-methyltransferase,STM2642
tRNA m<sup>6</sup>t<sup>6</sup>A37 methyltransferase,b0195,tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase,STM0243
tRNA m<sup>7</sup>G46 methyltransferase,b2960,tRNA (guanosine(46)-N7)-methyltransferase,STM3109
tRNA preQ134 S-adenosylmethionine ribosyltransferase-isomerase,b0405,S-adenosylmethionine-tRNA ribosyltransferase-isomerase,STM0404
tRNA pseudouridine<sup>13</sup> synthase,b2745,tRNA pseudouridine(13) synthase,STM2928
tRNA pseudouridine<sup>38-40</sup> synthase,b2318,tRNA pseudouridine(38-40) synthase,STM2368
tRNA pseudouridine<sup>55</sup> synthase,b3166,tRNA pseudouridine(55) synthase,STM3284
tRNA pseudouridine<sup>65</sup> synthase,b2791,tRNA pseudouridine(65) synthase,STM2964
tRNA threonylcarbamoyladenosine dehydratase,b2812,tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase,STM2987
tRNA U34 carboxymethyltransferase,b1871,tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase,STM1906
tRNA U34 hydroxylase TrhO,b1055,hypothetical protein,STM0387
tRNA uridine 4-sulfurtransferase,b0423,tRNA 4-thiouridine(8) synthase,STM0425
tRNA wobble base hydroxylation protein TrhP,b2081,U32 family peptidase,STM2136
tRNA-dihydrouridine synthase A,b4049,tRNA dihydrouridine(20/20a) synthase,STM4243
tRNA-dihydrouridine synthase B,b3260,tRNA dihydrouridine synthase,STM3384
tRNA-dihydrouridine<sup>16</sup> synthase,b2140,tRNA dihydrouridine(16) synthase,STM2174
tRNA-guanine transglycosylase,b0406,tRNA guanosine(34) transglycosylase,STM0405
tRNA-specific 2-thiouridylase,b1133,tRNA-specific 2-thiouridylase,STM1234
tRNAIle-lysidine synthetase,b0188,tRNA(Ile)-lysidine synthase,STM0236
tRNA<sup>Met</sup> cytidine acetyltransferase,b2474,tRNA cytosine(34) acetyltransferase,STM2485
truncated RNase PH,b3643,ribonuclease PH,STM3734
tryptophan synthase subunit &alpha;,b1260,tryptophan synthase subunit alpha,STM1727
tryptophan synthase subunit &beta;,b1261,tryptophan synthase subunit beta,STM1726
tryptophan&mdash;tRNA ligase,b3384,tryptophan--tRNA ligase,STM4508
tryptophan:H<sup>+</sup> symporter Mtr,b3161,tryptophan permease,STM3279
twin arginine protein translocation system - TatA protein,b3836,,
twin arginine protein translocation system - TatB protein,b3838,,
twin arginine protein translocation system - TatC protein,b3839,,
twin arginine protein translocation system - TatE protein,b0627,Sec-independent protein translocase,STM3973
Type 1 fimbriae regulatory protein FimB,b4312,,
type I restriction enzyme EcoKI endonuclease subunit,b4350,type I restriction-modification system endonuclease,STM4526
type I restriction enzyme EcoKI methylase subunit,b4349,DNA methylase M,STM4525
type I restriction enzyme EcoKI specificity subunit,b4348,restriction endonuclease subunit S,STM4524
type I-E CRISPR system Cascade subunit CasA,b2760,,
type I-E CRISPR system Cascade subunit CasC,b2758,,
type I-E CRISPR system Cascade subunit CasD,b2757,,
type II secretion system prepilin peptidase,b3335,prepilin peptidase,STM3442
Type II/IV secretion system family protein,b2950,type IV pili twitching motility protein,STM3099
Type IV methyl-directed restriction enzyme EcoKMrr,b4351,restriction endonuclease,STM0357
tyrosine aminotransferase,b4054,aromatic amino acid aminotransferase,STM0998
tyrosine&mdash;tRNA ligase,b1637,tyrosine--tRNA ligase,STM1449
tyrosine:H+ symporter,b1907,tyrosine transporter,STM1937
ubiquinone biosynthesis accessory factor UbiJ,b3834,Ubiquinone biosynthesis protein,STM3971
ubiquinone biosynthesis accessory factor UbiK,b3042,putative cytoplasmic protein,STM0383
ubiquinone biosynthesis protein UbiB,b3835,putative periplasmic protein,STM1897
ubiquinone biosynthesis protein UbiU,b3158,putative protease,STM3275
ubiquinone biosynthesis protein UbiV,b3159,putative protease,STM3275
"UDP-2,3-diacylglucosamine diphosphatase",b0524,"UDP-2,3-diacylglucosamine diphosphatase",STM0535
UDP-3-<i>O</i>-(3-hydroxymyristoyl)glucosamine <i>N</i>-acyltransferase,b0179,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,STM0226
UDP-3-O-acyl-N-acetylglucosamine deacetylase,b0096,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,STM0134
UDP-4-amino-4-deoxy-L-arabinose aminotransferase,b2253,putative DegT/DnrJ/EryC1/StrS family,STM2297
UDP-<i>N</i>-acetyl-D-mannosamine dehydrogenase,b3787,UDP-N-acetyl-D-mannosamine dehydrogenase,STM3921
UDP-<i>N</i>-acetylenolpyruvoylglucosamine reductase,b3972,UDP-N-acetylenolpyruvoylglucosamine reductase,STM4137
UDP-N-acetylglucosamine 1-carboxyvinyltransferase,b3189,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,STM3307
UDP-<i>N</i>-acetylglucosamine 2-epimerase,b3786,UDP-N-acetylglucosamine 2-epimerase,STM3920
UDP-<i>N</i>-acetylglucosamine&mdash;undecaprenyl-phosphate <i>N</i>-acetylglucosaminephosphotransferase,b3784,undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase,STM3918
UDP-<i>N</i>-acetylmuramate&mdash;L-alanine ligase,b0091,UDP-N-acetylmuramate--L-alanine ligase,STM0129
"UDP-<i>N</i>-acetylmuramate&mdash;L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminoheptanedioate ligase",b4233,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase,STM4416
UDP-<i>N</i>-acetylmuramoyl-L-alanine&mdash;D-glutamate ligase,b0088,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,STM0126
"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",b0085,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase",STM0123
"UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase",b3628,"lipopolysaccharide &alpha;-(1,6)-galactosyltransferase",STM3719
"UDP-D-glucose:(glucosyl)LPS &alpha;-1,3-glucosyltransferase",b3627,"lipopolysaccharide 1,3-galactosyltransferase",STM3718
UDP-galactopyranose mutase,b2036,,
UDP-glucose 4-epimerase,b0759,UDP-glucose 4-epimerase,STM0776
UDP-glucose 6-dehydrogenase,b2028,UDP-glucose 6-dehydrogenase,STM2080
"UDP-glucose:(glucosyl)LPS &alpha;-1,2-glucosyltransferase",b3626,lipopolysaccharide glucosyltransferase II,STM3717
UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase,b2047,undecaprenyl-phosphate glucose phosphotransferase,STM2103
"UDP-glucuronate:2-O-Ac-beta-D-Gal-(1->3)-alpha-L-Fuc-(1->4)-2/3-O-Ac-alpha-L-Fuc-(1->3)-beta-D-Glc-PP-Und beta-(1,3)-glucuronosyltranferase",b2059,colanic acid biosynthesis glycosyltransferase,STM2100
UDP-glucuronate:LPS(HepIII) glycosyltransferase,b3615,putative glycosyltransferase,STM3707
UDP-N-acetyl-D-mannosaminuronic acid transferase,b3794,lipopolysaccharide N-acetylmannosaminouronosyltransferase,STM3929
UFP0181 family protein YoaH,b1811,hypothetical protein,STM0387
UMP kinase,b0171,UMP kinase,STM0218
UMP phosphatase,b0675,UMP phosphatase,STM0681
uncharacterized iron-binding protein YecA,b1908,putative metal-binding protein,STM1938
uncharacterized membrane protein YohP,b4679,,
uncharacterized protein YaeQ,b0190,Uncharacterized protein,STM1586
uncharacterized protein YbaE,b0445,peptide ABC transporter substrate-binding protein,STM2759
uncharacterized protein YdiH,b1685,putative cytoplasmic protein,STM0383
uncharacterized protein YebO,b1825,Uncharacterized protein,STM1586
uncharacterized protein YggT,b2952,putative integral membran resistance protein,STM3101
